"Story","Title","Result","Date","Stability","Duration (s)"
"Login","As a user, i have able to login","SUCCESS","2022-05-13T01:48:55.1985326+07:00[Asia/Bangkok]","0.0","29.86"
"Login","As a user, i have not able to login because password is wrong","SUCCESS","2022-05-13T01:49:26.4515561+07:00[Asia/Bangkok]","0.0","7.63"
"Login","As a user, i have not able to login because email is wrong","SUCCESS","2022-05-13T01:49:35.1441111+07:00[Asia/Bangkok]","0.0","7.74"
"Buy Product","As a user, i have able to buy a product and add to chart","SUCCESS","2022-05-13T01:49:44.0476347+07:00[Asia/Bangkok]","0.0","15.52"
"Buy Product","As a user, i have not able to buy a product and add to chart","SUCCESS","2022-05-13T01:50:00.7191406+07:00[Asia/Bangkok]","0.0","0.25"
"Logout","As a user, i can logout of account","FAILURE","2022-05-13T01:50:01.069474+07:00[Asia/Bangkok]","0.0","18.94"
"Order","As a user, i have able to order and pay product","FAILURE","2022-05-13T01:50:22.0772841+07:00[Asia/Bangkok]","0.0","12.55"
"Register","As a user, i have able to create account","SUCCESS","2022-05-13T01:50:35.7608642+07:00[Asia/Bangkok]","0.0","9.06"
"Register","As a user, i have not able to create account","SUCCESS","2022-05-13T01:50:45.8289251+07:00[Asia/Bangkok]","0.0","8.46"
